JDTDB,CalendarDate(TDB),X,Y,Z
2390596.500000000, A.D. 1833-Feb-17 00:00:00.0000,  4.386111069406250E+01,  1.509647909108362E+01, -8.501529873000120E+00
2390696.500000000, A.D. 1833-May-28 00:00:00.0000,  4.383967479730952E+01,  1.530883303892603E+01, -8.428833533223564E+00
2390796.500000000, A.D. 1833-Sep-05 00:00:00.0000,  4.381690414852211E+01,  1.552073472435409E+01, -8.355863382262305E+00
2390896.500000000, A.D. 1833-Dec-14 00:00:00.0000,  4.379277397339614E+01,  1.573211933377374E+01, -8.282704087995745E+00
2390996.500000000, A.D. 1834-Mar-24 00:00:00.0000,  4.376736937184567E+01,  1.594302344256388E+01, -8.209355020863352E+00
2391096.500000000, A.D. 1834-Jul-02 00:00:00.0000,  4.374065988988959E+01,  1.615340250937516E+01, -8.135763548207422E+00
2391196.500000000, A.D. 1834-Oct-10 00:00:00.0000,  4.371265805048512E+01,  1.636322917223818E+01, -8.062008867800818E+00
2391296.500000000, A.D. 1835-Jan-18 00:00:00.0000,  4.368341710753965E+01,  1.657253876603714E+01, -7.988074446455879E+00
2391396.500000000, A.D. 1835-Apr-28 00:00:00.0000,  4.365292975297210E+01,  1.678127441836152E+01, -7.913922081579307E+00
2391496.500000000, A.D. 1835-Aug-06 00:00:00.0000,  4.362121105946979E+01,  1.698943905361309E+01, -7.839623477041403E+00
2391596.500000000, A.D. 1835-Nov-14 00:00:00.0000,  4.358832074245439E+01,  1.719706719586303E+01, -7.765148540455705E+00
2391696.500000000, A.D. 1836-Feb-22 00:00:00.0000,  4.355422546297154E+01,  1.740411543588246E+01, -7.690462185818612E+00
2391796.500000000, A.D. 1836-Jun-01 00:00:00.0000,  4.351896000875843E+01,  1.761057500558498E+01, -7.615645919803837E+00
2391896.500000000, A.D. 1836-Sep-09 00:00:00.0000,  4.348258525010350E+01,  1.781651016657127E+01, -7.540642105906408E+00
2391996.500000000, A.D. 1836-Dec-18 00:00:00.0000,  4.344503894851533E+01,  1.802186372100499E+01, -7.465433059801570E+00
2392096.500000000, A.D. 1837-Mar-28 00:00:00.0000,  4.340637794925170E+01,  1.822664502973754E+01, -7.390094639111093E+00
2392196.500000000, A.D. 1837-Jul-06 00:00:00.0000,  4.336663889046971E+01,  1.843090737468499E+01, -7.314559122462174E+00
2392296.500000000, A.D. 1837-Oct-14 00:00:00.0000,  4.332577721713511E+01,  1.863460342189024E+01, -7.238819566330187E+00
2392396.500000000, A.D. 1838-Jan-22 00:00:00.0000,  4.328382128726665E+01,  1.883776144944287E+01, -7.162940298539068E+00
2392496.500000000, A.D. 1838-May-02 00:00:00.0000,  4.324081304983628E+01,  1.904040369811980E+01, -7.086856548032475E+00
2392596.500000000, A.D. 1838-Aug-10 00:00:00.0000,  4.319670338608733E+01,  1.924250550768615E+01, -7.010565203013265E+00
2392696.500000000, A.D. 1838-Nov-18 00:00:00.0000,  4.315152248374559E+01,  1.944409192873073E+01, -6.934127781163792E+00
2392796.500000000, A.D. 1839-Feb-26 00:00:00.0000,  4.310529336694476E+01,  1.964519059123517E+01, -6.857467472939207E+00
2392896.500000000, A.D. 1839-Jun-06 00:00:00.0000,  4.305796293739488E+01,  1.984575290717703E+01, -6.780606254796097E+00
2392996.500000000, A.D. 1839-Sep-14 00:00:00.0000,  4.300958731234669E+01,  2.004583453534365E+01, -6.703585758496081E+00
2393096.500000000, A.D. 1839-Dec-23 00:00:00.0000,  4.296014115578346E+01,  2.024544870708785E+01, -6.626326975912838E+00
2393196.500000000, A.D. 1840-Apr-01 00:00:00.0000,  4.290959271966706E+01,  2.044453827386907E+01, -6.548872236762914E+00
2393296.500000000, A.D. 1840-Jul-10 00:00:00.0000,  4.285798845460761E+01,  2.064316954342626E+01, -6.471247061540523E+00
2393396.500000000, A.D. 1840-Oct-18 00:00:00.0000,  4.280530571717202E+01,  2.084133953431464E+01, -6.393376487779645E+00
2393496.500000000, A.D. 1841-Jan-26 00:00:00.0000,  4.275149386545639E+01,  2.103901036081632E+01, -6.315307978600688E+00
2393596.500000000, A.D. 1841-May-06 00:00:00.0000,  4.269660697913621E+01,  2.123621988221996E+01, -6.237067888386625E+00
2393696.500000000, A.D. 1841-Aug-14 00:00:00.0000,  4.264062134953877E+01,  2.143297809945171E+01, -6.158574127495190E+00
2393796.500000000, A.D. 1841-Nov-22 00:00:00.0000,  4.258347333752778E+01,  2.162923893792158E+01, -6.079890601806398E+00
2393896.500000000, A.D. 1842-Mar-02 00:00:00.0000,  4.252522420859209E+01,  2.182504548212238E+01, -6.001028600528671E+00
