"display_name","dimensions"
"Walter De Maria","Steel bar, 1 1/2 x 14 x 1 1/2"" (3.9 x 35.5 x 3.9 cm); certificate, 8 1/2 x 13 1/2"" (21.7 x 34.2 cm)"
"David Octavius Hill","8 x 5 3/4"" (20.3 x 14.6 cm)"
"Dimitri Petrovich Plavinsky","39 3/8 x 59 1/8"" (99.7 x 150.1 cm)"
"David Octavius Hill","8 1/16 x 5 15/16"" (20.5 x 15.1 cm)"
"George Platt Lynes","9 3/16 x 7 1/2"" (23.4 x 19.1 cm)"
"Juan Antonio Roda","composition (see child records): 18 9/16 x 17 1/16"" (47.2 x 43.3 cm); sheet (orientation varies, each approx.): 29 7/8 x 22 3/16"" (75.9 x 56.3 cm) or 22 3/16 x 29 13/16"" (56.4 x 75.8 cm)"
"Manuel Álvarez Bravo","4 3/16 x 5 1/2"" (10.6 x 13.9 cm)"
"Adolf De Meyer","5 9/16 x 7 15/16"" (14.2 x 20.2 cm)"
"Anna Maria Maiolino","8 5/8 x 12 3/8"" (21.9 x 31.4 cm)"
"Willem de Kooning","composition (irreg.): 32 1/16 x 23 1/2"" (81.4 x 59.7 cm); sheet: 40 9/16 x 28 1/4"" (103 x 71.7 cm)"
"Frances Benjamin Johnston","7 9/16 x 9 1/2"" (19.2 x 24.2 cm)"
"Preston Scott Cohen","38 x 48"" (96.5 x 121.9 cm)"
"David Octavius Hill","7 3/4 x 5 7/16"" (19.7 x 13.8 cm)"
"Robert Andrew Parker","irreg composition  9 3/8 x 15 1/8"" (23.9 x 38.4 cm)"
"Frances Benjamin Johnston","7 1/2 x 9 1/2"" (19.1 x 24.2 cm)"
"José Chávez Morado","Sheet 12 1/2 x 19"" (31.7 x 48.2 cm) Comp. 10  9/16 x 16 9/16"" (26.8 x 42.1 cm)"
"Paula Horn Kotis","8 15/16 x 10 15/16"" (22.8 x 27.8 cm)"
"Deborah Fleming Caffery","12 5/16 x 17 15/16"" (31.2 x 45.5 cm)"
"William Henry Jackson","21 x 17"" (53.3 x 43.2 cm)"
"Louis Michel Eilshemius","20 x 36"" (50.8 x 91.4 cm)"
"Joseph Webster Golinkin","Comp. 14 1/4 x 17 1/2"" (36.3 x 44.5 cm)"
"Henry Hamilton Bennett","25 15/16 x 67 1/2"" (65.9 x 171.5 cm)"
"Marco De Valdivia","19 15/16 x 16 1/16"" (50.7 x 40.8 cm)"
"Carrie Mae Weems","28 works: 26 3/4 x 22"" (67.9 x 55.8 cm); 4 works: 22 x 26¾"" (55.8 x 67.9 cm); 2 works: 43 1/2 x 33 1/2"" (110.4 x 85 cm)"
"Willem de Kooning","6' 8"" x 70"" (203.2 x 177.8 cm)"
"Camera Arts Studios","7 5/8 x 9 1/2"" (19.4 x 24.2 cm)"
"William Ross Abrams","composition: 11 3/8 x 13 1/8"" (28.9 x 33.3cm); sheet (irreg.): 14 1/2 x 17 3/8"" (36.8 x 44.1cm)"
"Manuel Álvarez Bravo","7 3/16 x 9 9/16"" (18.2 x 24.3 cm)"
"Maxime Du Camp","6 1/2 x 8"" (16.5 x 20.3 cm)"
